time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
55	0.0	0.0	0.0	0.0	0.707861718319	kid>cgv	time208-cond1.txt
56	0.0	0.0	0.0	0.0	0.674601492678	cgv>kid	time208-cond1.txt
57	0.316227766017	0.316227766017	0.0	0.0	0.642250522523	kid>cgv	time208-cond1.txt
58	0.202259958739	0.134839972493	0.0	0.0	0.452797253902	cgv>kid	time208-cond1.txt
59	0.124034734589	0.310086836473	0.0439799497134	0.0439799497134	0.765434133968	kid>cgv	time208-cond1.txt
60	0.218217890236	0.218217890236	0.0	0.0	0.640145001943	cgv>kid	time208-cond1.txt
61	0.166666666667	0.188982236505	0.0	0.0	0.790207329462	kid>cgv	time208-cond1.txt
62	0.172132593165	0.19518001459	0.0	0.0	0.702368832116	cgv>kid	time208-cond1.txt
63	0.276026223737	0.345032779671	0.0	0.0	0.594206159845	kid>cgv	time208-cond1.txt
64	0.170940864689	0.218217890236	0.0	0.0	0.873116021476	cgv>kid	time208-cond1.txt
65	0.106600358178	0.204124145232	0.0	0.0	0.419379667268	kid>cgv	time208-cond1.txt
66	0.142857142857	0.360843918244	0.0	0.0	0.463898903	cgv>kid	time208-cond1.txt
67	0.0	0.0	0.0	0.0	0.391762731581	kid>cgv	time208-cond1.txt
68	0.0	0.0	0.0	0.0	0.210971764614	cgv>kid	time208-cond1.txt
69	0.1905001905	0.121267812518	0.220778929864	0.220778929864	0.915915615131	kid>cgv	time208-cond1.txt
70	0.12598815767	0.1	0.310086836473	0.310086836473	0.846007954305	cgv>kid	time208-cond1.txt
71	0.119522860933	0.0	0.0	0.0	0.860101469803	kid>cgv	time208-cond1.txt
72	0.316227766017	0.316227766017	0.115470053838	0.115470053838	0.64585957217	cgv>kid	time208-cond1.txt
73	0.416025147169	0.416025147169	0.0	0.0	0.49927241124	kid>cgv	time208-cond1.txt
74	0.458831467741	0.485071250073	0.0	0.0	0.555057756933	cgv>kid	time208-cond1.txt
75	0.0	0.0808452083454	0.0727392967453	0.0727392967453	0.52663321622	kid>cgv	time208-cond1.txt
76	0.0	0.0	0.0	0.0	0.502133813263	cgv>kid	time208-cond1.txt
77	0.0	0.0	0.0	0.0	0.490550804186	kid>cgv	time208-cond1.txt
78	0.230940107676	0.116642368704	0.210818510678	0.210818510678	0.639883525517	cgv>kid	time208-cond1.txt
79	0.0790569415042	0.0693375245282	0.258198889747	0.258198889747	0.687191785316	kid>cgv	time208-cond1.txt
80	0.077151674981	0.077151674981	0.248069469178	0.248069469178	0.719686148806	cgv>kid	time208-cond1.txt
81	0.0	0.297044262893	0.0	0.0	0.548724724842	kid>cgv	time208-cond1.txt
82	0.143222974808	0.142133810904	0.0	0.0	0.662783396194	cgv>kid	time208-cond1.txt
83	0.261785157202	0.334021328561	0.0	0.0	0.714809076381	kid>cgv	time208-cond1.txt
84	0.0613139339485	0.103142124626	0.307859647993	0.337760264737	0.781418443286	cgv>kid	time208-cond1.txt
0	0.267261241912	0.142857142857	0.0	0.0	0.754959287343	cgv>kid	time205-cond1.txt
1	0.0	0.188982236505	0.0	0.0	0.614706579076	kid>cgv	time205-cond1.txt
2	0.188982236505	0.0	0.0	0.0	0.597162810832	cgv>kid	time205-cond1.txt
3	0.245255735794	0.388290137358	0.0	0.0	0.605876220413	kid>cgv	time205-cond1.txt
4	0.0	0.0	0.0	0.0	0.360112850896	cgv>kid	time205-cond1.txt
5	0.0	0.0	0.0	0.0	0.578236542577	kid>cgv	time205-cond1.txt
6	0.0	0.178174161275	0.0	0.0	0.576563902468	cgv>kid	time205-cond1.txt
7	0.105409255339	0.102868899975	0.0	0.0	0.513555409953	kid>cgv	time205-cond1.txt
8	0.0514344499874	0.0	0.0	0.0	0.508472661893	cgv>kid	time205-cond1.txt
9	0.0	0.0833333333333	0.0	0.0	0.45889651215	kid>cgv	time205-cond1.txt
10	0.166666666667	0.154303349962	0.0	0.0	0.498177669342	cgv>kid	time205-cond1.txt
11	0.0	0.0	0.0	0.0	0.764252274669	kid>cgv	time205-cond1.txt
12	0.0	0.0	0.0	0.0	0.683891998129	cgv>kid	time205-cond1.txt
13	0.0912870929175	0.0	0.0	0.0	0.54907805929	kid>cgv	time205-cond1.txt
14	0.131876094679	0.235702260396	0.0	0.0	0.679080645401	cgv>kid	time205-cond1.txt
15	0.0	0.0	0.0	0.0	0.738424004919	kid>cgv	time205-cond1.txt
16	0.0	0.0	0.0	0.0	0.736944241071	cgv>kid	time205-cond1.txt
17	0.0	0.0	0.0	0.0	0.677825358648	kid>cgv	time205-cond1.txt
18	0.164957219768	0.164957219768	0.0	0.0	0.66918720245	cgv>kid	time205-cond1.txt
19	0.377964473009	0.377964473009	0.188982236505	0.188982236505	0.734927584911	kid>cgv	time205-cond1.txt
20	0.0	0.0	0.0	0.0	0.248986413355	cgv>kid	time205-cond1.txt
